region,site,subsite,longitude,latitude,date_set,date_recovered,crop_type,crop_stage,biomass_comments,burrow_effort,burrow_total,burrow_comments
Dawson Valley,Namgoori 6 & 7,Namgoori 7,150.1252824,-24.6130926,2013-09-18,2013-09-19,unburned/unmown road verge,n/a,15680 kg/ha,200,0,
Dawson Valley,Silverton 1 & 2,Silverton 1,150.1541161,-24.7677166,2013-09-18,2013-09-19,unburned/unmown road verge,n/a,"7,680 kg/ha",200,0,heavy ground coverage in verge
Dawson Valley,Silverton 1 & 2,Silverton 2,150.1541161,-24.7677166,2013-09-18,2013-09-19,sorghum,stubble  (heads harvested),"13,200 kg/ha",200,0,
Dawson Valley,Tallawanta 3 - 5,Tallawanta 3,150.1225787,-24.6134788,2013-09-18,2013-09-19,unburned/unmown road verge,n/a,"8,640 kg/ha",200,0,
Dawson Valley,Tallawanta 3 - 5,Tallawanta 4,150.1225787,-24.6134788,2013-09-18,2013-09-19,wheat,mature (flowers/heads),"16,320 kg/ha",200,0,
Dawson Valley,Toolangi 10 and 11,Toolangi 10,150.1499909,-24.58192,2013-09-18,2013-09-19,unburned/unmown road verge,n/a,"12,000 kg/ha",200,0,"Weedy, dry rank grass"
Dawson Valley,Toolangi 10 and 11,Toolangi 11,150.1499909,-24.58192,2013-09-18,2013-09-19,wheat,mature (flowers/heads),"7,280 kg/ha",200,0,"Wheat var. Kennedy, sown into sorghum stubble in June 2013; poor quality crop"
Dawson Valley,Toolangi 12 - 14,Toolangi 14,150.1678061,-24.583776,2013-09-18,2013-09-19,wheat,mature (flowers/heads),"7,280 kg/ha",200,0,
Dawson Valley,Toolangi 15 and 16 E,Toolangi 15,150.1923859,-24.5875526,2013-09-18,2013-09-19,chickpea/mung beans,mature (flowers/heads),6000 kg/ha,200,0,Poor quality crop
Dawson Valley,Toolangi 15 and 16 E,Toolangi 16E,150.1923859,-24.5875526,2013-09-18,2013-09-19,unburned/unmown road verge,n/a,7680 kg/ha,200,0,
